symbol,name,sector,market_cap,change_pct
ADBE,Adobe Inc.,Technology,138543722589.11133,-0.055080689287478335
AMD,Advanced Micro Devices,Technology,354993146142.43896,0.20642840984489186
ABNB,Airbnb,Consumer Discretionary,73572359463.033,0.0332980241753944
GOOGL,Alphabet Inc. (Class A),Technology,3830822024361.0146,-1.048088743966279
GOOG,Alphabet Inc. (Class C),Technology,3827495432821.031,-1.1227883750317436
AMZN,Amazon,Consumer Discretionary,2433200072788.5,-2.0613219713425264
AEP,American Electric Power,Utilities,63343329498.81882,0.23716651286385995
AMGN,Amgen,Health Care,184876561543.85458,-0.6050682572583497
ADI,Analog Devices,Technology,136493530200.12415,0.18509727807411086
AAPL,Apple Inc.,Technology,4159613039909.973,-1.365477728718862
AMAT,Applied Materials,Technology,215252793500.039,0.5844497247817316
APP,AppLovin,Technology,233229035095.28656,4.1235988371605385
ARM,Arm Holdings,Technology,149112731763.8565,0.9698906681856391
ASML,ASML Holding,Technology,431043819877.86694,-2.6649570632254047
AZN,AstraZeneca,Health Care,279981214438.37976,-0.6053884772710801
TEAM,Atlassian,Technology,40792962010.94733,-1.1387219587941162
ADSK,Autodesk,Technology,64909617919.921875,-0.7608039222697673
ADP,Automatic Data Processing,Industrials,106121301001.01404,0.6725078747946642
AXON,Axon Enterprise,Industrials,43261083233.95996,0.8610050190202192
BKR,Baker Hughes,Energy,49960362699.64822,0.2772814121496555
BIIB,Biogen,Health Care,26745290850.160156,0.8630691887102351
BKNG,Booking Holdings,Consumer Discretionary,164115338680.54492,0.3275711383706538
AVGO,Broadcom,Technology,1804510099148.217,0.39148230716459526
CDNS,Cadence Design Systems,Technology,92008974397.88818,0.46116401716705774
CDW,CDW Corporation,Technology,18959901795.500565,0.6855516846901918
CHTR,Charter Communications,Telecommunications,27492349672.18979,0.6576250942514063
CTAS,Cintas,Industrials,74134835683.92963,-0.40604188876557135
CSCO,Cisco,Telecommunications,306654730706.5915,-0.17671738406852894
CCEP,Coca-Cola Europacific Partners,Consumer Staples,40903765929.604614,-0.665648859029202
CTSH,Cognizant,Technology,39154701455.18033,1.173650088651757
CMCSA,Comcast,Telecommunications,101225534810.9584,-0.04921696490283856
CEG,Constellation Energy,Utilities,116686610863.12573,3.3909095025345994
CPRT,Copart,Consumer Discretionary,37573605075.09001,-0.0898245867607514
CSGP,CoStar Group,Real Estate,29027622050.20684,-0.7678916329679617
COST,Costco,Consumer Discretionary,395674727712.1228,-3.2442025668834815
CRWD,CrowdStrike,Technology,129215551711.76758,-1.7615857287394354
CSX,CSX Corporation,Industrials,67552078740.15439,0.7927672916933933
DDOG,Datadog,Technology,53514108152.91792,-2.0695668777646947
DXCM,DexCom,Health Care,25348916154.88742,-0.3238228055725522
FANG,Diamondback Energy,Energy,46430678770.50169,1.2690961263217282
DASH,DoorDash,Technology,95586851017.69876,-0.3146336577152048
EA,Electronic Arts,Consumer Discretionary,50869085424.65733,0.08857471080875033
EXC,Exelon,Utilities,44500041604.70648,-1.066462234069614
FAST,Fastenal,Industrials,48045293172.08651,1.5283775709874234
FTNT,Fortinet,Technology,64929552773.94667,2.3501687344359574
GEHC,GE HealthCare,Health Care,37739419650.400116,-1.1125645609816737
GILD,Gilead Sciences,Health Care,153649122804.09534,-0.94000244140625
GFS,GlobalFoundries,Technology,20804722272.087307,-1.7064886407850124
HON,Honeywell,Industrials,129778679443.62717,-0.40316264763294357
IDXX,Idexx Laboratories,Health Care,57490575210.02356,-1.011112076146262
INTC,Intel,Technology,196309344177.2461,-5.941495826890147
INTU,Intuit,Technology,182316503320.3125,1.1105028662531125
ISRG,Intuitive Surgical,Health Care,203471256621.33215,-0.37037199721580877
KDP,Keurig Dr Pepper,Consumer Staples,38672068860.42833,0.5118265377838495
KLAC,KLA Corporation,Technology,158768174651.54712,-0.5016996660305344
KHC,Kraft Heinz,Consumer Staples,29347794218.837467,-0.938875764701615
LRCX,Lam Research,Technology,197603757561.63483,-1.9092350871723396
LIN,Linde plc,Basic Materials,188800610344.59314,-1.5916877022773206
LULU,Lululemon,Consumer Discretionary,22128299611.48883,1.2794866886528264
MAR,Marriott International,Consumer Discretionary,80470962455.89886,-3.3295260584693525
MRVL,Marvell Technology,Technology,86107916368.10303,-0.3293355406294205
MELI,Mercado Libre,Consumer Discretionary,108450654247.20801,0.913043958970031
META,Meta Platforms,Technology,1682376481326.008,4.345281503197857
MCHP,Microchip Technology,Technology,35156068201.01285,2.248074660359413
MU,Micron Technology,Technology,257083451945.5058,-2.4218896109777783
MSFT,Microsoft,Technology,3558999971528.3057,0.22397102590049467
MSTR,MicroStrategy,Technology,54192039831.32919,0.047771292628163826
MDLZ,Mondelez International,Consumer Staples,72279791504.0816,-0.28556104033189705
MNST,Monster Beverage,Consumer Staples,71752440488.3457,-0.7501017991616225
NFLX,"Netflix, Inc.",Consumer Discretionary,434368024737.8092,-1.380336255512799
NVDA,Nvidia,Technology,4475643298065.186,0.0
NXPI,NXP Semiconductors,Technology,56798895414.88609,-0.997540998776132
ORLY,O'Reilly Automotive,Consumer Discretionary,84370574713.08209,1.1307147924837195
ODFL,Old Dominion Freight Line,Industrials,32171487082.967743,1.4044454579906172
ON,Onsemi,Technology,22869824939.706253,-2.1872265382774656
PCAR,Paccar,Consumer Discretionary,57189502330.9507,0.3040370630837894
PLTR,Palantir Technologies,Technology,424227592314.76056,1.0790514974593093
PANW,Palo Alto Networks,Technology,133273823365.64606,0.6138977201732171
PAYX,Paychex,Industrials,40555571239.3125,-0.6085214261578358
PYPL,PayPal,Industrials,58607689420.958405,0.15512312769785955
PDD,PDD Holdings,Technology,163507785593.26718,-1.7278105368711332
PEP,PepsiCo,Consumer Staples,200679339069.17523,-0.9995918897360269
QCOM,Qualcomm,Technology,187951012634.27734,-0.5055176378590177
REGN,Regeneron Pharmaceuticals,Health Care,76973982092.0434,0.3240471200492485
