symbol,name,sector,market_cap,change_pct
MMM,3M,Industrials,90690861635.1796,-1.6407628389723004
AOS,A. O. Smith,Industrials,9380974690.335846,-0.5570410007426533
ABT,Abbott Laboratories,Health Care,217365925196.16812,-0.3192605339260825
ABBV,AbbVie,Health Care,403750195201.95166,-0.779620450885807
ACN,Accenture,Information Technology,168173345494.75793,-1.0426978768781003
ADBE,Adobe Inc.,Information Technology,138569173553.4668,-0.03672045952498555
AMD,Advanced Micro Devices,Information Technology,354866824865.112,0.17462757967142273
AES,AES Corporation,Utilities,9959011157.352676,2.042302933567576
AFL,Aflac,Financials,58756587927.69524,0.7520173220279665
A,Agilent Technologies,Health Care,42285505992.27014,-0.07034418558433876
APD,Air Products,Materials,57797782793.20981,-0.26502877865572383
ABNB,Airbnb,Consumer Discretionary,73529503152.9025,-0.0749157911830922
AKAM,Akamai Technologies,Information Technology,12567074957.522598,-0.7012590365437326
ALB,Albemarle Corporation,Materials,14170194933.197174,-4.818563778669264
ARE,Alexandria Real Estate Equities,Real Estate,8005256680.137978,-4.3370478181222865
ALGN,Align Technology,Health Care,11297362730.79982,0.5516101467993951
ALLE,Allegion,Industrials,14024498765.785263,-0.6187888783771338
LNT,Alliant Energy,Utilities,16915418083.09156,-0.8662202049316602
ALL,Allstate,Financials,55183286773.20732,0.3834738138635413
GOOGL,Alphabet Inc. (Class A),Communication Services,3828581311307.2354,-1.101279441065166
GOOG,Alphabet Inc. (Class C),Communication Services,3825082392414.6465,-1.1789653910746505
MO,Altria,Consumer Staples,97778056053.5422,0.0
AMZN,Amazon,Consumer Discretionary,2432345977771.508,-2.0871013002867635
AMCR,Amcor,Materials,19372910637.121113,-0.7978736895573678
AEE,Ameren,Utilities,27395724762.28601,-0.16261053862457062
AEP,American Electric Power,Utilities,63343329498.81882,0.23716651286385995
AXP,American Express,Financials,258600267362.49512,0.9466724541162793
AIG,American International Group,Financials,43090418854.50577,0.9212392465084408
AMT,American Tower,Real Estate,83123959462.58507,0.7236969055957441
AWK,American Water Works,Utilities,25233380854.927673,-1.2369207468033672
AMP,Ameriprise Financial,Financials,44983564414.07355,1.501782199093723
AME,Ametek,Industrials,46314353214.37866,0.6600755111678986
AMGN,Amgen,Health Care,184957346791.00534,-0.5616357958402197
APH,Amphenol,Information Technology,171104603668.40515,0.8366416972044224
ADI,Analog Devices,Information Technology,136275630540.62543,0.05570686627982989
AON,Aon plc,Financials,74818118996.00455,0.7083763550397814
APA,APA Corporation,Energy,9688857309.50306,0.4823716403947978
APO,Apollo Global Management,Financials,78714010425.75142,0.8252792642019052
AAPL,Apple Inc.,Information Technology,4156348135994.2627,-1.4464140207089937
AMAT,Applied Materials,Information Technology,215045658689.3078,0.4280958476645414
APP,AppLovin,Information Technology,232930898680.33813,3.973059404963239
APTV,Aptiv,Consumer Discretionary,16719598022.759918,-1.6775484953610074
ACGL,Arch Capital Group,Financials,34627378514.50882,0.06470832377464783
ADM,Archer Daniels Midland,Consumer Staples,28699625160.832977,-0.14213893905867941
ANET,Arista Networks,Information Technology,163175010389.3184,1.3908421717100863
AJG,Arthur J. Gallagher & Co.,Financials,63052046057.58667,0.06724538870328466
AIZ,Assurant,Financials,11294285514.353577,0.47002121186478074
T,AT&T,Communication Services,181226515080.81995,0.07899075041363553
ATO,Atmos Energy,Utilities,27730407124.0,0.20450255097719552
ADSK,Autodesk,Information Technology,64924529479.98047,-0.7909102828468242
ADP,Automatic Data Processing,Industrials,106141550531.87366,0.6917176944604299
AZO,AutoZone,Consumer Discretionary,63805492185.05859,0.15151979604922
AVB,AvalonBay Communities,Real Estate,25552058084.0607,-1.1348598006320563
AVY,Avery Dennison,Materials,13601670576.534729,0.21641602069473856
AXON,Axon Enterprise,Industrials,43274501480.92505,0.8922889761780415
BKR,Baker Hughes,Energy,49989964711.550255,0.33669669893834464
BALL,Ball Corporation,Materials,13267258631.25,-0.06149811407868881
BAC,Bank of America,Financials,403641585855.96674,0.748749820954656
BAX,Baxter International,Health Care,9617469867.492142,-0.9581776691774874
BDX,Becton Dickinson,Health Care,55356364680.64819,-0.2273092032637427
BRK.B,Berkshire Hathaway,Financials,100000000.0,0.0
BBY,Best Buy,Consumer Discretionary,15770690961.381035,0.3226747808908175
TECH,Bio-Techne,Health Care,6373149871.826172,-0.1386727937726352
BIIB,Biogen,Health Care,18211000061.035156,0.7524208079400069
BLK,BlackRock,Financials,107969494628.90625,-0.01621017612458097
BX,Blackstone Inc.,Financials,185463809533.44586,-0.2474920732748138
XYZ,"Block, Inc.",Financials,6106000137.329102,-0.081818420162276
BK,BNY Mellon,Financials,11413999938.964844,0.9284667837645076
BA,Boeing,Industrials,19925999450.683594,-1.6194326493647833
BKNG,Booking Holdings,Consumer Discretionary,505681835937.5,0.1903704920513209
BSX,Boston Scientific,Health Care,9780000305.175781,-0.7811673383893069
BMY,Bristol Myers Squibb,Health Care,5165999984.741211,1.3736278954383676
