symbol,name,sector,asset class,market value,weight (%),notional value,quantity,price,location,exchange,currency,fx rate,market currency,accrual date
BE,BLOOM ENERGY CLASS A CORP,Industrials,Equity,825378022.44,1.1,"825,378,022.44","5,273,644.00",156.51,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,479244080.48,0.64,"479,244,080.48","3,701,584.00",129.47,United States,NASDAQ,USD,1.0,USD,-
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,Equity,434984476.16,0.58,"434,984,476.16","4,021,676.00",108.16,United States,NASDAQ,USD,1.0,USD,-
FN,FABRINET,Information Technology,Equity,433388820.6,0.58,"433,388,820.60","873,310.00",496.26,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
NXT,NEXTPOWER INC CLASS A,Industrials,Equity,426659645.64,0.57,"426,659,645.64","3,523,783.00",121.08,United States,NASDAQ,USD,1.0,USD,-
HL,HECLA MINING,Materials,Equity,403999761.2,0.54,"403,999,761.20","15,349,535.00",26.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CDE,COEUR MINING INC,Materials,Equity,379816008.39,0.51,"379,816,008.39","15,458,527.00",24.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,371124142.74,0.49,"371,124,142.74","3,270,969.00",113.46,United States,NASDAQ,USD,1.0,USD,-
IONQ,IONQ INC,Information Technology,Equity,353054816.2,0.47,"353,054,816.20","8,165,005.00",43.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
GH,GUARDANT HEALTH INC,Health Care,Equity,323817874.32,0.43,"323,817,874.32","2,931,009.00",110.48,United States,NASDAQ,USD,1.0,USD,-
RMBS,RAMBUS INC,Information Technology,Equity,317265344.0,0.42,"317,265,344.00","2,609,090.00",121.60,United States,NASDAQ,USD,1.0,USD,-
BBIO,BRIDGEBIO PHARMA INC,Health Care,Equity,302965893.3,0.4,"302,965,893.30","3,830,163.00",79.10,United States,NASDAQ,USD,1.0,USD,-
STRL,STERLING INFRASTRUCTURE INC,Industrials,Equity,273549217.44,0.36,"273,549,217.44","721,328.00",379.23,United States,NASDAQ,USD,1.0,USD,-
AVAV,AEROVIRONMENT INC,Industrials,Equity,267478802.64,0.36,"267,478,802.64","912,212.00",293.22,United States,NASDAQ,USD,1.0,USD,-
DY,DYCOM INDUSTRIES INC,Industrials,Equity,247610310.64,0.33,"247,610,310.64","677,512.00",365.47,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SPXC,SPX TECHNOLOGIES INC,Industrials,Equity,246987645.44,0.33,"246,987,645.44","1,165,916.00",211.84,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,245422100.16,0.33,"245,422,100.16","911,943.00",269.12,United States,NASDAQ,USD,1.0,USD,-
TTMI,TTM TECHNOLOGIES INC,Information Technology,Equity,238515733.44,0.32,"238,515,733.44","2,472,178.00",96.48,United States,NASDAQ,USD,1.0,USD,-
ENSG,ENSIGN GROUP INC,Health Care,Equity,230917161.42,0.31,"230,917,161.42","1,357,857.00",170.06,United States,NASDAQ,USD,1.0,USD,-
GTLS,CHART INDUSTRIES INC,Industrials,Equity,226620234.4,0.3,"226,620,234.40","1,093,727.00",207.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
UMBF,UMB FINANCIAL CORP,Financials,Equity,226020829.32,0.3,"226,020,829.32","1,775,916.00",127.27,United States,NASDAQ,USD,1.0,USD,-
OKLO,OKLO INC CLASS A,Utilities,Equity,225880553.88,0.3,"225,880,553.88","2,625,297.00",86.04,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MOD,MODINE MANUFACTURING,Industrials,Equity,223738299.92,0.3,"223,738,299.92","1,266,061.00",176.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care,Equity,221860055.27,0.3,"221,860,055.27","448,483.00",494.69,United States,NASDAQ,USD,1.0,USD,-
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,221263626.24,0.29,"221,263,626.24","3,201,152.00",69.12,United States,NASDAQ,USD,1.0,USD,-
APLD,APPLIED DIGITAL CORP,Information Technology,Equity,218420419.59,0.29,"218,420,419.59","5,737,337.00",38.07,United States,NASDAQ,USD,1.0,USD,-
UEC,URANIUM ENERGY CORP,Energy,Equity,214178367.6,0.29,"214,178,367.60","11,514,966.00",18.60,United States,Nyse Mkt Llc,USD,1.0,USD,-
CMC,COMMERCIAL METALS,Materials,Equity,210291798.72,0.28,"210,291,798.72","2,697,432.00",77.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
ONB,OLD NATIONAL BANCORP,Financials,Equity,208451054.4,0.28,"208,451,054.40","8,543,076.00",24.40,United States,NASDAQ,USD,1.0,USD,-
IDCC,INTERDIGITAL INC,Information Technology,Equity,206439097.95,0.28,"206,439,097.95","623,815.00",330.93,United States,NASDAQ,USD,1.0,USD,-
LUMN,LUMEN TECHNOLOGIES INC,Communication,Equity,205652122.29,0.27,"205,652,122.29","23,029,353.00",8.93,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
RNA,AVIDITY BIOSCIENCES INC,Health Care,Equity,202530968.52,0.27,"202,530,968.52","2,790,836.00",72.57,United States,NASDAQ,USD,1.0,USD,-
COMP,COMPASS INC CLASS A,Real Estate,Equity,202056653.02,0.27,"202,056,653.02","15,507,034.00",13.03,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
CTRE,CARETRUST REIT INC,Real Estate,Equity,201994152.84,0.27,"201,994,152.84","5,447,523.00",37.08,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JBTM,JBT MAREL CORP,Industrials,Equity,199967382.3,0.27,"199,967,382.30","1,261,226.00",158.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
PRIM,PRIMORIS SERVICES CORP,Industrials,Equity,199527425.98,0.27,"199,527,425.98","1,308,634.00",152.47,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,196874669.59,0.26,"196,874,669.59","661,519.00",297.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
MOGA,MOOG INC CLASS A,Industrials,Equity,196037280.0,0.26,"196,037,280.00","680,685.00",288.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
SANM,SANMINA CORP,Information Technology,Equity,194993355.95,0.26,"194,993,355.95","1,262,665.00",154.43,United States,NASDAQ,USD,1.0,USD,-
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,193823320.14,0.26,"193,823,320.14","4,104,687.00",47.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
JXN,JACKSON FINANCIAL INC CLASS A,Financials,Equity,191086957.48,0.25,"191,086,957.48","1,618,558.00",118.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
