As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2025-12-26,SNDK,667159.0000000000,0.8465058520,SANDISK CORP,BBG01S1DBBT9,US,USD,XNGS,1.0000000000,USD,Information Technology
2025-12-26,LITE,339580.0000000000,0.6821363607,LUMENTUM HOLDINGS INC,BBG0073F9SD2,US,USD,XNGS,1.0000000000,USD,Information Technology
2025-12-26,RKT,4632564.0000000000,0.4571541732,ROCKET COMPANIES INC CLASS A,BBG00VY1MZ09,US,USD,XNYS,1.0000000000,USD,Financials
2025-12-26,ATI,650870.0000000000,0.3851797265,ATI INC,BBG000LC2KK0,US,USD,XNYS,1.0000000000,USD,Industrials
2025-12-26,RVMD,870552.0000000000,0.3586071250,REVOLUTION MEDICINES INC,BBG00RFFGV40,US,USD,XNGS,1.0000000000,USD,Health Care
2025-12-26,SATS,644882.0000000000,0.3499312265,ECHOSTAR CORP CLASS A,BBG000TGM196,US,USD,XNGS,1.0000000000,USD,Communication Services
2025-12-26,NXT,710863.0000000000,0.3287849136,NEXTPOWER INC CLASS A,BBG01DZ9ZJ75,US,USD,XNGS,1.0000000000,USD,Industrials
2025-12-26,HL,3210177.0000000000,0.3229783028,HECLA MINING,BBG000BL5Y00,US,USD,XNYS,1.0000000000,USD,Materials
2025-12-26,GH,619779.0000000000,0.3219390344,GUARDANT HEALTH INC,BBG00LXPDX04,US,USD,XNGS,1.0000000000,USD,Health Care
2025-12-26,MLI,531824.0000000000,0.3192623810,MUELLER INDUSTRIES INC,BBG000C6W649,US,USD,XNYS,1.0000000000,USD,Industrials
2025-12-26,IONS,775953.0000000000,0.3175129502,IONIS PHARMACEUTICALS INC,BBG000JH7N58,US,USD,XNGS,1.0000000000,USD,Health Care
2025-12-26,BBIO,812500.0000000000,0.3154835637,BRIDGEBIO PHARMA INC,BBG00PF2LY41,US,USD,XNGS,1.0000000000,USD,Health Care
2025-12-26,IOT,1670693.0000000000,0.3099020828,SAMSARA INC CLASS A,BBG012CPBT09,US,USD,XNYS,1.0000000000,USD,Information Technology
2025-12-26,CDE,3076610.0000000000,0.2922132784,COEUR MINING INC,BBG000BF8VT5,US,USD,XNYS,1.0000000000,USD,Materials
2025-12-26,NYT,774008.0000000000,0.2788602531,NEW YORK TIMES CLASS A,BBG000FFD4B4,US,USD,XNYS,1.0000000000,USD,Communication Services
